Payment_ID,Loan_ID,Payment_Date,Payment_Amount,Payment_Status
355,8151,2023-05-04,8841.53,Partial
356,14835,2024-03-30,87512.29,Partial
357,10333,2023-03-22,235241.265,Partial
358,7871,2023-12-22,55562.29,Partial
359,750,2025-09-20,71643.65,Paid
360,9676,2024-08-28,94933.36,Paid
361,9656,2023-12-06,68085.13,Paid
362,10345,2023-12-13,33248.2,Late
363,10767,2025-02-14,107235.31,Late
364,8009,2024-01-17,30270.55,Paid
365,3204,2023-08-25,100636.41,Paid
366,6497,2024-03-25,118762.18,Paid
367,12018,2025-10-11,13653.15,Paid
368,8311,2024-09-25,149995.49,Paid
369,11189,2026-03-13,73206.1,Paid
370,5885,2024-03-14,235241.265,Late
371,14674,2022-03-20,235241.265,Paid
372,14717,2023-10-21,68672.44,Paid
373,12893,2024-02-08,40158.69,Late
374,3472,2025-01-08,41772.36,Paid
375,9556,2025-10-20,235241.265,Paid
376,3637,2024-06-28,86645.15,Partial
377,8596,2025-10-12,0.0,Missed
378,12265,2023-05-29,14277.01,Paid
379,13782,2026-09-02,23420.94,Partial
380,6802,2024-09-08,116848.83,Paid
381,2776,2026-04-05,20376.74,Paid
382,14751,2025-10-10,66944.85,Partial
383,11483,2024-11-20,46889.43,Paid
384,3050,2024-09-04,142491.06,Paid
385,6639,2026-04-11,7841.13,Paid
386,204,2024-04-30,222233.66,Paid
387,8915,2023-01-24,208682.29,Paid
388,1258,2023-07-27,17404.79,Paid
389,3296,2024-02-19,12182.73,Paid
390,11925,2023-03-29,60374.67,Paid
391,10310,2025-03-18,157581.28,Late
392,1012,2024-03-08,58067.36,Paid
393,12237,2025-03-12,34633.82,Paid
394,1967,2025-06-01,63355.04,Paid
395,12960,2025-11-11,67617.21,Paid
396,11948,2026-02-05,12694.03,Paid
397,4652,2025-03-20,84039.13,Paid
398,9132,2025-12-02,14831.82,Paid
399,2229,2024-04-23,27434.16,Paid
400,1956,2025-09-27,42375.72,Partial
401,2999,2024-05-25,122179.18,Paid
402,244,2024-04-16,56243.37,Partial
403,12782,2025-10-30,132163.48,Late
404,13183,2023-12-25,0.0,Missed
405,7389,2024-08-03,223113.34,Paid
406,10697,2025-02-16,60560.36,Paid
407,1538,2026-07-18,209361.93,Paid
408,9236,2026-02-05,8088.44,Late
409,12587,2025-02-10,51306.56,Paid
410,10889,2025-02-17,37881.16,Late
411,3078,2024-01-28,36041.08,Paid
412,7149,2023-12-12,9873.83,Partial
413,10569,2025-09-27,56870.45,Paid
414,12714,2025-08-15,67745.78,Paid
415,14321,2023-12-18,119361.08,Late
416,1054,2025-01-03,68518.74,Late
417,13756,2026-09-29,13616.28,Partial
418,10544,2024-07-14,92688.97,Partial
419,6751,2025-04-20,30129.6,Paid
420,1540,2025-01-26,214946.45,Paid
421,5774,2024-10-10,6840.41,Late
422,4198,2026-12-01,154325.87,Paid
423,1350,2023-08-27,105446.03,Late
424,8343,2026-02-24,80693.22,Paid
425,6019,2024-02-13,235241.265,Paid
426,10744,2025-03-12,39062.66,Paid
427,10376,2023-03-21,5267.13,Paid
428,3036,2023-08-01,31733.66,Paid
429,13076,2023-07-15,62900.6,Paid
430,11034,2023-04-13,235241.265,Paid
431,7030,2024-06-08,33206.5,Paid
432,7974,2025-09-09,52581.65,Paid
433,1007,2024-08-25,210162.62,Paid
434,9256,2024-01-05,119344.2,Paid
435,7165,2023-11-06,150238.17,Paid
436,3052,2022-09-16,0.0,Missed
437,12265,2022-11-03,0.0,Missed
438,3892,2023-07-02,0.0,Missed
439,2242,2023-11-29,46159.37,Late
440,5042,2025-05-06,81684.4,Paid
441,3415,2023-06-19,113828.71,Paid
442,4405,2024-01-18,52861.43,Paid
443,4222,2025-05-04,147223.76,Paid
444,8080,2025-10-17,82246.51,Paid
445,8428,2024-07-09,81681.73,Paid
446,9969,2023-09-04,25244.07,Paid
447,2010,2025-08-11,95506.79,Paid
448,13645,2024-02-27,22312.84,Late
449,6077,2026-04-11,116498.59,Paid
450,10635,2023-08-14,36470.85,Paid
451,9470,2024-03-15,70813.83,Paid
452,5035,2025-12-22,41768.57,Paid
453,6991,2023-07-28,25937.68,Paid
454,7335,2024-11-14,36669.48,Late
455,520,2024-03-14,24494.51,Paid
456,8808,2026-05-24,11234.95,Paid
457,3389,2027-01-10,8785.45,Paid
458,7105,2025-04-18,0.0,Missed
459,4475,2025-02-28,33943.41,Late
460,3466,2024-05-28,37760.05,Paid
461,643,2025-03-21,0.0,Missed
462,4879,2022-09-16,0.0,Missed
463,12923,2023-02-12,235241.265,Late
464,5169,2022-09-23,61095.5,Paid
465,12415,2024-05-10,42365.57,Paid
466,860,2026-07-13,2445.08,Partial
467,8153,2024-01-09,12026.57,Paid
468,14161,2026-07-04,7645.78,Paid
469,14098,2025-11-05,79669.22,Paid
470,7591,2023-06-29,34076.59,Paid
471,2867,2023-08-16,180921.31,Late
472,6623,2023-08-27,34997.2,Paid
473,14448,2023-11-18,40203.35,Paid
474,11682,2025-07-02,10039.34,Paid
475,13936,2023-11-07,31731.54,Paid
476,1833,2024-05-11,44259.26,Paid
477,7511,2024-10-25,25859.22,Paid
478,7914,2026-09-04,122618.87,Paid
479,10863,2024-01-16,174392.59,Paid
480,2363,2024-02-05,37662.84,Partial
481,10444,2023-12-13,115713.69,Paid
482,4046,2025-09-06,81754.96,Paid
483,10997,2024-02-10,29890.42,Paid
484,1305,2022-12-24,50335.94,Paid
485,2201,2023-09-07,64044.32,Paid
486,5189,2023-12-29,235241.265,Late
487,5211,2024-10-15,65846.66,Late
488,651,2024-11-16,171364.52,Paid
489,11466,2025-10-25,70437.42,Partial
490,164,2023-11-25,99105.96,Late
491,2054,2024-11-22,235241.265,Late
492,4241,2025-10-31,119367.5,Paid
493,11849,2026-01-14,11816.63,Paid
494,6129,2024-12-07,60381.46,Paid
495,4377,2023-06-07,121225.81,Paid
496,2866,2025-03-08,15435.66,Paid
497,13756,2026-06-25,39747.57,Paid
498,3239,2024-07-15,0.0,Missed
499,6158,2025-09-09,68559.61,Paid
500,4949,2023-10-14,99601.38,Paid
501,10796,2024-10-11,86628.28,Paid
502,1215,2025-04-01,114189.84,Paid
503,12991,2026-04-07,15555.64,Paid
504,12762,2023-06-20,44964.77,Paid
505,13645,2022-12-10,25871.07,Paid
506,6181,2024-03-06,16006.88,Paid
507,14910,2023-05-24,44627.68,Paid
508,9263,2025-11-05,8814.29,Partial
509,8946,2024-02-07,46555.31,Late
510,8470,2023-11-20,204742.54,Late
511,5739,2023-04-03,44857.9,Paid
512,1060,2024-02-05,28248.6,Paid
513,671,2023-11-23,235241.265,Late
514,13364,2025-04-25,124624.08,Paid
515,8009,2023-10-23,28786.41,Paid
516,12464,2022-10-23,45582.84,Paid
517,2096,2023-11-19,140645.58,Paid
518,3017,2025-04-28,98377.77,Paid
519,10450,2023-11-09,34770.76,Paid
520,5932,2024-07-29,67887.82,Late
521,1785,2025-12-21,141986.02,Paid
522,3737,2025-12-13,36448.52,Partial
523,425,2025-05-12,61048.97,Paid
524,14093,2023-02-03,83364.54,Paid
525,10252,2024-08-14,191743.67,Paid
526,2695,2023-04-17,28346.94,Late
527,8457,2026-02-06,0.0,Missed
528,13169,2025-05-10,156407.54,Paid
529,12113,2025-02-10,120600.76,Paid
530,4036,2023-07-14,26411.91,Paid
531,554,2024-05-13,151064.84,Paid
532,3449,2025-01-01,105501.41,Paid
533,11149,2024-04-29,19639.57,Partial
534,8590,2023-01-27,32500.8,Paid
535,14456,2023-05-14,138207.48,Paid
536,5958,2023-05-29,51677.18,Late
537,9192,2023-10-08,41617.37,Paid
538,2514,2023-12-11,97720.5,Paid
539,10248,2026-06-16,216102.7,Paid
540,11577,2025-01-26,41127.66,Paid
541,4027,2025-12-09,82572.64,Paid
542,4359,2025-02-06,90007.0,Paid
543,12242,2025-04-18,117795.74,Paid
544,6176,2023-06-27,13921.76,Paid
545,1189,2023-12-15,113230.0,Paid
546,6063,2022-09-07,8070.01,Paid
547,1649,2024-12-04,235241.265,Paid
548,1457,2024-07-14,202518.36,Paid
549,4198,2026-05-14,145797.11,Paid
550,6989,2025-06-09,20887.68,Partial
551,6260,2025-03-14,46686.05,Paid
552,2936,2024-07-07,54939.79,Paid
553,4013,2025-08-01,203946.48,Paid
554,4431,2026-02-22,22738.51,Late
555,3402,2025-05-19,123627.46,Paid
556,13501,2026-03-05,12088.36,Paid
557,9135,2023-04-05,23296.05,Late
558,11640,2026-06-02,31075.11,Partial
559,6206,2024-01-26,41801.28,Paid
560,6551,2026-01-23,22019.14,Late
561,6548,2024-10-10,68676.17,Paid
562,11065,2025-12-14,122727.28,Paid
563,3397,2024-11-17,78260.09,Paid
564,9158,2023-08-29,108884.57,Paid
565,9559,2025-06-12,148132.79,Paid
566,3429,2024-02-19,42959.02,Paid
567,13081,2023-12-09,91930.16,Paid
568,12036,2022-07-02,56403.99,Partial
569,10554,2025-05-06,12511.86,Paid
570,12629,2026-02-04,0.0,Missed
571,4114,2024-05-21,96873.31,Paid
572,12162,2023-03-09,28021.92,Paid
573,1720,2024-02-15,146759.83,Paid
574,10035,2025-08-09,75665.51,Partial
575,14760,2024-01-24,16647.45,Partial
576,11094,2026-08-07,110473.84,Late
577,6298,2023-09-04,8517.22,Paid
578,2708,2024-02-20,0.0,Missed
579,13756,2025-12-27,34604.87,Late
580,1145,2023-09-21,63358.22,Late
581,6161,2025-04-01,105343.48,Paid
582,13265,2023-10-04,61357.13,Partial
583,6698,2023-03-01,50508.64,Paid
584,4588,2025-11-07,89781.32,Paid
585,8792,2025-12-20,112179.48,Paid
586,5256,2025-12-27,5433.51,Paid
587,13234,2022-09-26,23724.08,Paid
588,11954,2024-11-11,168227.71,Paid
589,3753,2025-11-04,60796.84,Paid
590,4733,2023-06-17,22369.79,Paid
591,9119,2025-04-29,47701.79,Paid
592,4563,2022-07-31,105854.48,Paid
593,8842,2025-12-17,27021.65,Paid
594,13262,2025-02-06,143592.71,Late
595,499,2022-10-08,28019.22,Paid
596,6914,2024-09-21,65358.23,Paid
597,9362,2023-09-19,72337.21,Partial
598,1377,2025-07-19,33285.37,Paid
599,5495,2025-12-14,18651.99,Paid
600,6872,2023-05-05,99475.26,Paid
601,10942,2026-06-29,19425.28,Paid
602,10466,2023-05-29,116539.81,Paid
603,888,2023-12-17,235241.265,Paid
604,7398,2025-05-18,34507.21,Paid
605,1171,2022-12-13,79956.67,Paid
606,9155,2025-01-28,21226.0,Late
607,7542,2024-09-28,44303.37,Partial
608,6057,2023-08-14,67389.17,Paid
609,5396,2023-07-05,16386.3,Paid
610,7570,2026-03-03,26914.66,Paid
611,10466,2023-06-28,114949.44,Paid
612,12235,2024-02-25,89533.03,Paid
613,12655,2026-09-25,128435.67,Paid
614,8577,2024-03-11,57092.36,Late
615,11238,2025-06-15,27831.23,Partial
616,14808,2026-03-12,11206.3,Paid
617,5301,2024-11-02,235241.265,Paid
618,6996,2025-12-31,11314.65,Paid
619,11658,2026-08-26,52308.18,Paid
620,3805,2024-08-10,20932.73,Paid
621,4974,2025-12-17,0.0,Missed
622,4427,2023-09-21,70225.13,Paid
623,4757,2025-08-03,65658.19,Late
624,11766,2024-12-31,25505.37,Paid
625,12553,2024-09-02,24298.96,Paid
626,14628,2023-07-08,104979.84,Late
627,12350,2025-01-12,85920.32,Paid
628,745,2024-01-28,235241.265,Paid
629,9692,2023-03-06,28195.46,Paid
630,3558,2022-05-09,69946.76,Paid
631,8293,2026-02-02,113063.39,Paid
632,11847,2026-11-19,42776.25,Late
633,5177,2026-06-07,82568.0,Paid
634,10543,2026-03-15,195645.85,Paid
635,2057,2024-09-09,39903.11,Paid
636,3367,2023-02-23,36899.08,Paid
637,760,2025-12-15,11716.81,Paid
638,8250,2025-02-28,17990.48,Partial
639,13955,2026-08-21,37288.09,Paid
640,9954,2024-01-22,35647.03,Paid
641,1027,2023-09-21,182259.32,Late
642,7791,2024-05-11,25640.86,Paid
643,4391,2022-11-25,137317.22,Paid
644,6674,2024-07-25,51846.06,Late
645,13558,2022-10-08,211073.41,Late
646,799,2025-05-24,80895.2,Paid
647,760,2026-06-12,11875.37,Paid
648,13843,2025-04-21,60219.07,Paid
649,1565,2024-11-21,0.0,Missed
650,967,2023-05-25,71762.05,Paid
651,14895,2025-06-28,83276.21,Paid
652,5085,2024-07-01,21023.8,Paid
653,5734,2024-10-16,15501.68,Paid
654,8265,2025-12-27,24104.79,Paid
655,12954,2024-01-28,235241.265,Paid
656,1627,2026-07-30,28609.15,Paid
657,60,2024-04-01,43938.04,Paid
658,2026,2024-01-22,160079.57,Paid
659,4427,2023-12-10,70980.16,Paid
660,13544,2022-05-04,17605.47,Paid
661,13780,2026-01-19,95133.33,Paid
662,3598,2025-10-05,112340.53,Paid
663,6228,2023-03-20,34299.86,Paid
664,4426,2025-04-27,0.0,Missed
665,5536,2024-08-30,20024.74,Paid
666,7998,2023-04-16,17984.23,Paid
667,13363,2026-03-31,142622.46,Late
668,13347,2023-10-16,94751.71,Paid
669,1128,2026-08-26,40375.47,Paid
670,13961,2025-03-16,46734.38,Paid
671,1355,2025-06-05,217547.16,Paid
