Loan_ID,Customer_ID,Branch_ID,Loan_Amount,Loan_Term,Interest_Rate,Loan_Type,Application_Date,Approval_Status,Default_Status
144,3367,67,4500000,60,11.52,Auto,2024-01-22,Rejected,Not Applicable
145,506,93,757563.9,36,12.45,Personal,2022-03-07,Approved,No Default
146,7541,52,4500000,84,8.9,Auto,2023-08-15,Approved,No Default
147,8185,73,1243784.1,24,9.29,Auto,2025-03-21,Approved,No Default
148,9722,25,2194225.19,24,10.5,Home,2023-03-17,Approved,No Default
149,8072,54,4500000,60,7.5,Home,2022-06-24,Pending,Not Applicable
150,4273,94,2172790.43,48,10.12,Gold,2024-06-28,Rejected,Not Applicable
151,3954,23,2794280.37,36,11.52,Auto,2023-02-18,Rejected,Not Applicable
152,4660,3,2405373.34,60,10.56,Home,2023-10-09,Rejected,Not Applicable
153,1557,87,4105167.4,36,7.5,Home,2024-08-19,Approved,Default
154,7900,28,335422.94,12,15.63,Personal,2023-07-29,Rejected,Not Applicable
155,1305,6,717779.65,36,7.5,Home,2023-03-12,Approved,No Default
156,5582,45,1181827.86,36,11.53,Personal,2023-05-13,Rejected,Not Applicable
157,8617,70,1741580.59,24,14.76,Business,2022-09-08,Rejected,Not Applicable
158,8427,33,4500000,84,7.5,Home,2024-09-19,Pending,Not Applicable
159,2941,58,3560728.59,60,16.13,Personal,2022-02-04,Rejected,Not Applicable
160,1490,89,1840359.86,24,13.82,Business,2022-08-14,Rejected,Not Applicable
161,4737,96,4500000,36,7.5,Home,2023-07-26,Rejected,Not Applicable
162,7307,55,3434215.72,60,9.91,Education,2022-08-16,Rejected,Not Applicable
163,3453,15,4500000,60,12.88,Business,2024-02-05,Approved,No Default
164,6334,15,3018839.46,36,10.66,Personal,2022-01-30,Approved,No Default
165,1729,80,3657489.04,36,14.32,Personal,2022-02-06,Rejected,Not Applicable
166,6293,89,3435198.46,84,8.27,Home,2023-07-21,Rejected,Not Applicable
167,9046,81,1367895.64,48,9.44,Home,2022-01-16,Approved,No Default
168,6755,19,4067156.97,12,10.73,Auto,2023-12-08,Approved,No Default
169,148,40,4500000,24,7.77,Home,2023-08-27,Rejected,Not Applicable
170,7671,26,1112598.2,36,9.54,Auto,2022-12-27,Rejected,Not Applicable
171,7728,74,2145107.65,36,15.11,Personal,2022-10-19,Rejected,Not Applicable
172,5713,9,921898.89,12,12.93,Personal,2022-12-06,Rejected,Not Applicable
173,462,97,1166915.41,120,11.03,Home,2023-09-03,Rejected,Not Applicable
174,3118,59,2162949.0,84,14.9,Business,2022-11-14,Approved,No Default
175,4222,80,4500000,60,9.85,Home,2024-08-16,Rejected,Not Applicable
176,2544,92,593344.74,60,9.43,Home,2024-11-22,Rejected,Not Applicable
177,6469,7,4500000,24,9.57,Home,2022-09-09,Approved,No Default
178,8422,91,1486055.29,24,13.51,Business,2023-07-27,Rejected,Not Applicable
179,4204,95,4500000,12,10.22,Home,2025-02-28,Approved,No Default
180,1893,29,197968.59,84,10.94,Education,2024-06-21,Approved,No Default
181,1939,76,4500000,84,8.42,Home,2024-02-20,Approved,No Default
182,9617,58,1088996.45,60,12.04,Personal,2024-10-22,Rejected,Not Applicable
183,2469,59,1761272.81,36,11.29,Personal,2022-09-06,Pending,Not Applicable
184,636,35,4500000,36,16.85,Business,2023-07-03,Rejected,Not Applicable
185,4052,84,2872046.81,84,7.5,Auto,2022-06-25,Approved,No Default
186,7758,54,4500000,48,9.64,Home,2024-09-22,Approved,No Default
187,5804,2,1135137.55,12,9.78,Auto,2022-07-01,Rejected,Not Applicable
188,6240,49,3027837.17,36,11.89,Personal,2024-11-07,Approved,No Default
189,5810,99,594255.01,120,10.52,Education,2024-06-05,Rejected,Not Applicable
190,2403,56,4500000,12,9.07,Home,2024-02-02,Rejected,Not Applicable
191,2535,65,1754004.86,60,8.24,Education,2024-10-24,Approved,No Default
192,34,78,2242351.77,60,11.77,Personal,2023-08-27,Rejected,Not Applicable
193,1841,56,2645854.77,12,10.33,Education,2023-05-16,Rejected,Not Applicable
194,3985,80,4500000,60,10.28,Home,2022-10-28,Rejected,Not Applicable
195,3377,34,1270183.73,84,13.69,Personal,2023-11-22,Approved,No Default
196,4896,33,689588.23,48,10.51,Gold,2023-07-28,Approved,No Default
197,2260,86,4500000,36,7.5,Home,2022-10-02,Approved,No Default
198,6926,33,1009377.85,60,12.65,Business,2024-09-25,Rejected,Not Applicable
199,5570,13,2094211.8,60,13.28,Auto,2023-06-18,Rejected,Not Applicable
200,2993,99,3830751.31,60,12.68,Business,2022-09-10,Approved,No Default
201,4238,96,4500000,36,15.15,Business,2022-05-07,Approved,No Default
202,6338,62,3089493.0,36,7.5,Home,2022-04-15,Approved,No Default
203,1641,88,430545.0,36,11.04,Gold,2025-02-21,Approved,No Default
204,5831,34,4500000,24,17.1,Business,2022-10-07,Approved,No Default
205,617,12,3110658.83,84,12.03,Personal,2024-04-06,Rejected,Not Applicable
206,5031,47,2234434.94,48,12.41,Personal,2022-10-06,Rejected,Not Applicable
207,3825,13,1628867.71,60,13.1,Personal,2024-04-10,Rejected,Not Applicable
208,5638,68,1899214.81,84,7.5,Home,2024-05-30,Rejected,Not Applicable
209,5287,75,2387239.35,24,12.36,Auto,2022-10-14,Pending,Not Applicable
210,6105,95,3165370.35,60,7.71,Education,2022-01-21,Rejected,Not Applicable
211,4341,38,4500000,36,7.5,Home,2025-03-28,Pending,Not Applicable
212,6902,26,1435709.36,36,10.04,Auto,2022-11-08,Approved,No Default
213,5995,73,4500000,48,10.88,Home,2023-07-17,Rejected,Not Applicable
214,1962,90,4500000,84,11.52,Home,2022-03-23,Rejected,Not Applicable
215,2810,22,1025818.94,36,8.53,Home,2024-08-31,Rejected,Not Applicable
216,4020,45,1600341.44,36,8.72,Education,2024-07-22,Pending,Not Applicable
217,4460,49,667533.78,60,14.23,Business,2022-04-18,Rejected,Not Applicable
218,3385,11,3530080.41,84,11.86,Home,2023-06-01,Rejected,Not Applicable
219,7057,97,3429350.04,60,13.45,Education,2023-04-01,Rejected,Not Applicable
220,2864,51,2943580.4,36,17.12,Business,2024-05-25,Pending,Not Applicable
221,1309,5,4500000,120,7.58,Home,2022-01-06,Approved,Default
222,3183,23,2761572.31,60,12.32,Home,2023-05-01,Approved,No Default
223,1333,60,3060115.33,12,7.92,Home,2023-06-05,Rejected,Not Applicable
224,4519,52,1522684.97,24,10.71,Home,2024-10-21,Rejected,Not Applicable
225,7251,71,2498498.49,120,10.89,Personal,2025-02-27,Rejected,Not Applicable
226,4862,6,528544.87,12,11.54,Personal,2022-08-07,Rejected,Not Applicable
227,6094,53,1579835.37,84,17.07,Business,2023-11-13,Rejected,Not Applicable
228,6155,80,1329054.01,60,14.53,Personal,2024-06-16,Rejected,Not Applicable
229,1690,63,755618.29,60,13.75,Education,2023-06-14,Rejected,Not Applicable
230,1718,96,1676743.2,24,7.92,Education,2023-09-02,Approved,No Default
231,3545,28,1201497.22,24,14.6,Personal,2024-11-11,Approved,No Default
232,1516,60,2612889.77,12,12.39,Personal,2023-07-09,Rejected,Not Applicable
233,6700,29,4500000,12,9.28,Auto,2024-07-30,Approved,No Default
234,5013,89,1967311.56,36,7.5,Home,2023-02-04,Rejected,Not Applicable
235,7864,72,4500000,60,9.81,Auto,2022-02-22,Approved,No Default
236,5694,43,4500000,36,14.46,Business,2024-05-05,Approved,Default
237,8424,35,191245.89,24,13.42,Personal,2023-06-02,Approved,No Default
238,9565,50,2714855.41,60,13.36,Personal,2024-06-05,Rejected,Not Applicable
239,3832,48,4500000,24,11.24,Business,2022-04-25,Rejected,Not Applicable
240,1257,22,1599280.44,24,9.58,Home,2023-10-15,Rejected,Not Applicable
241,3706,97,1225102.78,60,8.39,Home,2024-10-06,Rejected,Not Applicable
242,2010,51,2139565.63,24,11.78,Education,2024-11-11,Approved,No Default
243,4679,93,3602931.92,24,16.67,Business,2025-01-27,Rejected,Not Applicable
244,9874,89,2078273.18,24,10.47,Education,2022-12-20,Approved,No Default
245,1583,7,4500000,48,9.67,Home,2023-03-28,Rejected,Not Applicable
246,7947,63,4500000,60,9.23,Home,2025-03-28,Rejected,Not Applicable
247,2195,86,4500000,84,15.39,Business,2023-05-24,Rejected,Not Applicable
248,4052,67,1867873.86,48,14.2,Personal,2022-08-25,Rejected,Not Applicable
249,1920,34,3701432.89,120,13.88,Personal,2024-10-16,Rejected,Not Applicable
250,4799,44,1797138.35,60,11.62,Home,2025-03-22,Rejected,Not Applicable
251,9800,63,2495518.33,36,10.47,Personal,2023-02-21,Rejected,Not Applicable
252,3011,40,1093559.85,36,11.5,Gold,2022-09-23,Pending,Not Applicable
253,2108,76,433378.49,36,7.63,Home,2022-04-15,Rejected,Not Applicable
254,5561,80,2711349.68,60,10.13,Home,2022-02-12,Pending,Not Applicable
255,2288,87,4500000,36,7.5,Home,2024-12-17,Rejected,Not Applicable
256,2001,69,4500000,24,8.82,Home,2024-07-07,Rejected,Not Applicable
257,7432,35,4500000,84,11.01,Home,2025-03-12,Rejected,Not Applicable
258,3091,41,669162.06,24,12.9,Personal,2024-02-27,Approved,No Default
259,8329,73,642411.92,36,9.85,Gold,2023-10-31,Approved,No Default
260,3578,38,4500000,24,8.54,Home,2023-06-14,Rejected,Not Applicable
261,4104,69,1154912.81,84,14.69,Business,2022-08-16,Rejected,Not Applicable
262,4653,6,1982672.1,48,13.36,Personal,2024-06-18,Rejected,Not Applicable
263,4427,88,1230855.78,60,12.2,Personal,2023-09-17,Rejected,Not Applicable
264,9671,80,3532929.01,24,7.5,Home,2025-02-16,Approved,No Default
265,6530,80,4500000,36,12.44,Business,2023-09-06,Approved,Default
266,5914,37,4189799.09,60,11.62,Education,2022-04-23,Pending,Not Applicable
267,966,44,1863590.8,36,15.52,Business,2022-09-03,Rejected,Not Applicable
268,7008,94,820346.34,84,16.34,Business,2022-07-22,Approved,No Default
269,7931,81,4500000,24,13.65,Business,2022-02-14,Rejected,Not Applicable
270,9550,71,848600.21,12,15.57,Personal,2023-10-24,Rejected,Not Applicable
271,2144,92,3799584.76,24,12.27,Auto,2023-04-16,Pending,Not Applicable
272,1326,91,1940074.24,36,12.93,Personal,2023-06-29,Approved,Default
273,4107,41,3527565.85,24,7.5,Home,2023-08-12,Rejected,Not Applicable
274,3960,69,4500000,24,8.19,Home,2022-02-24,Rejected,Not Applicable
275,2601,83,2798710.25,36,14.95,Personal,2024-04-27,Rejected,Not Applicable
276,3568,49,4500000,120,8.33,Home,2024-04-15,Rejected,Not Applicable
277,8493,90,2318979.11,36,9.86,Education,2022-01-11,Rejected,Not Applicable
278,346,82,1027199.4,48,12.53,Education,2025-01-06,Rejected,Not Applicable
279,9857,23,2985770.41,48,10.38,Auto,2023-11-03,Rejected,Not Applicable
280,9569,20,788750.14,60,16.32,Business,2024-09-14,Rejected,Not Applicable
281,6873,1,542643.12,36,13.86,Business,2022-04-14,Rejected,Not Applicable
282,6984,62,764468.32,36,11.87,Education,2025-03-05,Approved,No Default
283,501,19,1796393.59,60,15.01,Personal,2022-10-13,Rejected,Not Applicable
284,7821,60,3481882.26,60,15.8,Personal,2024-09-30,Rejected,Not Applicable
285,8658,33,4334642.01,60,10.82,Home,2022-03-02,Rejected,Not Applicable
286,5512,40,3331764.16,84,7.5,Home,2023-10-03,Rejected,Not Applicable
287,1104,88,2433154.62,84,15.44,Personal,2022-03-18,Rejected,Not Applicable
288,8959,90,887928.33,60,14.97,Personal,2023-01-02,Approved,No Default
289,6319,17,4500000,60,13.93,Business,2024-02-23,Rejected,Not Applicable
290,5140,29,2476061.98,24,8.38,Home,2022-10-29,Rejected,Not Applicable
291,1113,52,2376445.44,48,9.32,Home,2022-03-19,Rejected,Not Applicable
292,8454,41,4500000,48,10.37,Home,2024-07-27,Approved,No Default
293,9155,72,4500000,24,10.57,Home,2023-08-04,Rejected,Not Applicable
294,8798,40,2010475.03,120,16.35,Business,2024-12-16,Rejected,Not Applicable
295,5960,100,1387490.71,36,13.66,Personal,2023-06-09,Rejected,Not Applicable
296,8116,1,1120628.4,60,12.97,Education,2023-02-02,Rejected,Not Applicable
297,2530,38,1994280.38,36,15.31,Business,2024-02-12,Rejected,Not Applicable
298,2177,12,1492460.77,120,9.83,Auto,2023-03-10,Rejected,Not Applicable
299,8136,25,497416.02,48,15.82,Personal,2023-08-31,Approved,No Default
300,3339,74,4500000,120,10.55,Home,2025-03-31,Rejected,Not Applicable
301,4694,54,4500000,12,13.46,Business,2025-01-30,Approved,No Default
302,2520,94,4500000,24,7.5,Home,2024-12-25,Rejected,Not Applicable
303,1993,32,4500000,48,11.83,Auto,2023-04-01,Rejected,Not Applicable
304,2082,36,1201647.7,60,8.83,Education,2023-09-25,Rejected,Not Applicable
305,6257,56,425004.57,36,14.81,Gold,2023-05-22,Rejected,Not Applicable
306,2955,32,1625800.03,120,10.56,Home,2024-04-23,Rejected,Not Applicable
307,6731,82,1600033.73,36,15.98,Personal,2023-03-22,Rejected,Not Applicable
308,9329,42,2147396.53,120,16.04,Business,2022-10-28,Rejected,Not Applicable
309,7186,87,2000269.6,84,10.46,Auto,2023-04-09,Rejected,Not Applicable
310,5980,17,3012894.91,84,9.69,Auto,2022-11-08,Approved,Default
311,4852,99,747762.69,60,11.64,Personal,2022-02-26,Approved,No Default
312,335,12,567347.13,36,14.95,Gold,2023-03-17,Pending,Not Applicable
313,9950,23,1246291.49,60,10.81,Education,2024-07-24,Rejected,Not Applicable
314,492,82,4028507.8,120,13.15,Business,2024-04-21,Rejected,Not Applicable
315,993,66,1618364.5,48,7.79,Home,2022-10-16,Pending,Not Applicable
316,1502,32,1111329.97,60,15.57,Personal,2023-02-01,Approved,No Default
317,9679,84,4500000,84,7.5,Home,2024-11-14,Approved,No Default
318,4353,64,358753.55,48,11.51,Gold,2023-08-09,Approved,No Default
319,6479,23,1939598.28,24,8.88,Education,2024-07-07,Rejected,Not Applicable
320,9665,34,4500000,24,9.92,Home,2022-06-07,Rejected,Not Applicable
321,7859,39,1572906.58,84,11.24,Personal,2022-04-30,Rejected,Not Applicable
322,9723,78,4041315.21,48,15.06,Business,2024-01-17,Approved,No Default
323,3870,25,1538069.81,48,14.63,Personal,2022-07-31,Rejected,Not Applicable
324,3164,85,4500000,36,9.25,Home,2022-10-30,Rejected,Not Applicable
325,1541,36,1816547.84,24,13.33,Personal,2023-06-12,Approved,No Default
326,7133,73,3909756.27,48,8.76,Home,2024-01-13,Approved,No Default
327,8912,22,4500000,48,7.5,Home,2024-10-17,Approved,No Default
328,3161,50,4500000,24,9.89,Home,2024-08-30,Rejected,Not Applicable
329,9113,34,613803.26,84,11.16,Auto,2022-04-21,Approved,No Default
330,4823,27,1597684.63,84,12.69,Personal,2022-01-26,Rejected,Not Applicable
331,5220,6,4500000,60,7.79,Home,2023-11-20,Pending,Not Applicable
332,794,4,2920569.65,24,9.3,Education,2024-08-01,Rejected,Not Applicable
333,867,82,4001035.99,24,16.2,Business,2022-11-17,Rejected,Not Applicable
334,9527,44,4500000,24,7.63,Home,2024-12-15,Rejected,Not Applicable
335,8140,58,2622249.38,48,9.88,Home,2024-11-16,Approved,No Default
336,3468,57,379099.29,60,15.68,Personal,2025-02-12,Rejected,Not Applicable
337,9370,68,1758848.43,84,9.88,Auto,2024-05-09,Approved,No Default
338,1930,25,3821169.26,60,9.73,Home,2023-09-09,Approved,No Default
339,5248,20,1817054.02,84,17.21,Business,2022-12-19,Approved,No Default
340,7782,98,2321145.75,48,11.5,Auto,2023-10-08,Rejected,Not Applicable
341,3808,85,4500000,60,7.5,Home,2022-10-04,Approved,No Default
342,6431,59,4500000,12,13.79,Business,2024-03-01,Rejected,Not Applicable
343,8910,73,4500000,24,10.76,Home,2024-10-22,Approved,No Default
344,8184,65,3972984.41,48,14.71,Business,2024-11-22,Approved,No Default
345,3613,46,1489760.57,60,12.62,Business,2024-07-05,Approved,No Default
346,116,79,1969973.59,120,13.82,Education,2024-10-13,Rejected,Not Applicable
347,2764,41,3056314.19,120,11.32,Personal,2023-04-06,Rejected,Not Applicable
348,5340,44,2014236.78,60,10.43,Home,2023-05-30,Pending,Not Applicable
349,5835,36,2869970.74,60,15.87,Personal,2024-07-23,Pending,Not Applicable
350,6489,20,4500000,84,11.53,Home,2024-02-18,Rejected,Not Applicable
351,4457,80,3323736.1,36,7.5,Auto,2023-09-13,Approved,No Default
352,4201,37,1279320.55,60,16.11,Personal,2023-07-04,Rejected,Not Applicable
